"name","toonGP","shipGP","totalGP"
"Beerus","503356945","342083384","845440329"
"dafreq(temp)","506214510","344286915","850501425"
"Baja_Miller","509257312","346375290","855632602"
"BP260","511571688","347965394","859537082"
"Brick_Shatner","514154276","349473319","863627595"
"sinnjadekiller","516960360","351274391","868234751"
"Creepo","519538357","353000629","872538986"
"Danius_Arbosa","521902958","354475898","876378856"
"Darth_Niel","524487998","356212444","880700442"
"darthstarkiller","527267005","357990579","885257584"
"galen_marek","529512188","359445158","888957346"
"Tevir","532505384","361413713","893919097"
"Frizzy_Yeti","534864578","363116488","897981066"
"erdori","537280871","365006510","902287381"
"Pikax","540165155","366908914","907074069"
"HappySad","542827490","368925539","911753029"
"Helliandor","545563578","370823436","916387014"
"Holder","548140275","372318182","920458457"
"Hurrey","550654675","374159515","924814190"
"Hylen","553056627","376004767","929061394"
"Intifada","555285720","377492869","932778589"
"Ady","557692595","379270380","936962975"
"Jan","560075726","380832109","940907835"
"Morton","563017850","382781547","945799397"
"Kura","565390547","384395583","949786130"
"Lavs","568069163","386287287","954356450"
"echuta","570136102","387621710","957757812"
"Lucas","572884042","389470682","962354724"
"Marsa","575592119","391462040","967054159"
"Mobac","578326520","393408686","971735206"
"Mugatu","581348454","395570298","976918752"
"lskywalker77","583051312","396508842","979560154"
"saltyscarab","583639598","396810342","980449940"
"lonkkiz","584227884","397111842","981339726"
"Ono","587163426","399255978","986419404"
"MELO","590098968","401400114","991499082"
"Robbie","593031608","403409527","996441135"
"Smith","595623212","405365353","1000988565"
"Snomag","597982175","407020707","1005002882"
"Terix","600642807","408762635","1009405442"
"Thranduel","603343206","410665652","1014008858"
"Uq_Waw","606002775","412546292","1018549067"
"Urizen","608723658","414418207","1023141865"
"Vader78","611273466","416402994","1027676460"
"Wen_Qualto","614286793","418450379","1032737172"
"Wingman","617000416","420255845","1037256261"
