number,name,code
1.,Beerus,159553514
2.,dafreq(temp),957626514
3.,Baja_Miller,294865779
4.,BP260,555846377
5.,Brick_Shatner,319499992
6.,sinnjadekiller,486822871
7.,Creepo,193687156
8.,Danius_Arbosa,847875835
9.,Darth_Niel,126472861
10.,darthstarkiller,181222678
11.,galen_marek,196549441
12.,Tevir,117866449
13.,Frizzy_Yeti,797247639
14.,erdori,875449616
15.,Pikax,495616697
16.,HappySad,965449774
17.,Helliandor,973718918
18.,Holder,545856681
19.,Hurrey,883558167
20.,Hylen,232757485,(inactiveish)
21.,Intifada,377815264
22.,Ady,953678868
23.,Jan,886115963
24.,Morton,398222196
25.,Kura,277739392
26.,Lavs,716152774
27.,echuta,714373795
28.,Lucas,532619657
29.,Marsa,849568558
30.,Mobac,871356929
31.,Mugatu,546234278
32.,lskywalker77,166929481
33.,saltyscarab,499638945
34.,lonkkiz,761571625
35.,Ono,641665699
36.,MELO,523955362
37.,Robbie,349451219
38.,Smith,965273641
39.,Snomag,941189488
40.,Terix,313452666
41.,Thranduel,718869487
42.,Uq_Waw,429763241
43.,Urizen,837331916
44.,Vader78,754614287
45.,Wen_Qualto,899346765
46.,Wingman,577881139
