1.  Beerus 159-553-514
2. Azt1ken 395-589-753
3. Baja Miller 294-865-779
4. BP260 555-846-377
5. Brick_Shatner 319-499-992
6. Concrete_Badger 175-638-793
7. Creepo 193-687-156
8. Danius_Arbosa 847-875-835
9. Darth_Niel  126-472-861
10. Different_Dori 856-655-881
11. FracturedButwhole 793-331-356
12. Freelancer 764-939-327
13. Frizzy_Yeti 797-247-639
14. Guy31 969-612-145
15. Pikax 495-616-697
16. HappySad 965-449-774
17. Helliandor 973-718-918
18. Holder 545-856-681
19. Hurrey 883-558-167
20. Hylen 232-757-485
21. Intifada 377-815-264
22. Jaap 182-886-286
23. Jan 886-115-963
24. Kapone 871-338-837
25. Kura 277-739-392
26. Lavs 716-152-774
27. LoccatPowerdog 667-229-548
28. Lucas 532-619-657
29. Marsa 849-568-558
30. Mobac 871-356-929
31. Mugata 546-234-278
32. Niflheimz 829-179-691
33. Nomywar 683-438-733
34. Maulkiller 486-822-871
35. Ono 641-665-699
36. PC 627-146-565
37. Revanur 278-546-959
38. Sirino 356-756-647
39. Robbie 349-451-219
40. Smith 965-273-641
41. Snomag 941-189-488
42. Speakeasy 654-566-328
43. Terix 313-452-666
44. Thranduel 718-869-487
45. Uq'Waw 429-763-241
46. Urizen 837-331-916
47. Vader78 754-614-287
48. Voldart 672-369-824
49. Wen_Qualto 899-346-765
50. Wingman 577-881-139
